,Titre,Auteur,Summary
226,La fille d'avant ,J.P. Delaney,"Après un drame éprouvant, Jane cherche à tourner la page. Lorsqu’elle découvre le One Folgate Street, elle est conquise par cette maison ultra moderne, chef d’oeuvre de l’architecture minimaliste, parfaite. Mais pour y vivre, il faut se plier aux règles draconiennes imposées par son architecte, Edward Monkford, aussi mystérieux que séduisant. Parmi celles-ci : répondre régulièrement à des questionnaires déconcertants et intrusifs. Peu à peu, Jane acquiert une inquiétante certitude : la maison est pensée pour transformer celui qui y vit. Or elle apprend bientôt qu’Emma, la locataire qui l’a précédée et qui lui ressemble étrangement, y a trouvé une fin tragique. Alors qu’elle tente de démêler le vrai du faux, Jane s’engage sur la même pente, fait les mêmes choix, croise les mêmes personnes... et vit dans la même terreur que la fille d’avant.Traduit de l’anglais (États-Unis) par Jean Esch. JP Delaney est le pseudonyme d’un écrivain qui a publié plusieurs romans à succès sous d’autres noms. La Fille d’avant est sa première incursion dans le thriller psychologique. TRADUIT DANS 37 PAYS ET BIENTÔT PORTÉ SUR GRAND ÉCRAN PAR RON HOWARD, LE RÉALISATEUR MULTI-OSCARISÉ D’UN HOMME D’EXCEPTION ET DE DA VINCI CODE. « Un des meilleurs thrillers que vous lirez en 2017 ! » NEW YORK JOURNAL OF BOOKS"
227,Le jour où les lions mangeront de la salade verte ,Raphaëlle Giordano,"L'homme est un lion pour l'homme. Et les lions ne s'embarrassent pas de délicatesse. Sûrs de leur bon droit, ils imposent leurs vues sans conscience de leur égocentrisme et de leur appétit excessif pour les rapports de force. Ces lions, nous les croisons tous les jours : automobiliste enragé, conjoint gentiment dénigrant, chef imbu de pouvoir, mère intransigeante qui sait mieux que nous ce qui est bon pour nous... C'est ce que Romane appelle : la ""burnerie"". Trentenaire passionnée et engagée, Romane accompagne ces félins mal embouchés vers davantage d'humanité. Elle a créé une société qui leur propose un programme unique en son genre, relooking intégral de posture et de mentalité. Parmi ses nouveaux participants figurent de beaux spécimens. Surtout un : Maximilien Vogue, célèbre homme d'affaires, PDG d'un grand groupe de cosmétiques, charismatique en diable, mais horripilant archétype de burnerie ! Saura-t-elle le faire évoluer pour qu'il exprime autrement sa puissance intérieure, avec plus de justesse et de respect pour autrui ? Une évidence : elle va avoir du fil à retordre. Raphaëlle Giordano est écrivain, experte en créativité et développement personnel. Elle signe ici son deuxième roman, après le best-seller international Ta deuxième vie commence quand tu comprends que tu n'en as qu'une."
228,L'art & la manière de conclure en beauté ,Lauren Weisberger, 
229,Les passants de Lisbonne ,Philippe Besson,""" On ne renonce jamais vraiment, on a besoin de croire que tout n'est pas perdu, on se rattache à un fil, même le plus ténu, même le plus fragile. On se répète que l'autre va finir par revenir. On l'attend. On se déteste d'attendre mais c'est moins pénible que l'abandon, que la résignation totale. Voilà : on attend quelqu'un qui ne reviendra probablement pas. "" Hélène a vu en direct à la télévision les images d'un tremblement de terre dévastateur dans une ville lointaine ; son mari séjournait là-bas, à ce moment précis. Mathieu, quant à lui, a trouvé un jour dans un appartement vide une lettre de rupture. Ces deux-là, qui ne se connaissent pas, vont se rencontrer par hasard à Lisbonne. Et se parler. Une seule question les taraude : comment affronter la disparition de l'être aimé ? Et le manque ? Au fil de leurs déambulations dans cette ville mélancolique, dont la fameuse saudade imprègne chacune des ruelles tortueuses, ne cherchent-ils pas à panser leurs blessures et à s'intéresser, de nouveau, aux vivants ?"
230,Pétronille ,Amélie Nothomb, 
231,Elle et lui ,Marc Lévy, 
232,Les suicidées ,Val McDermid, 
233,Aveu de faiblesses ,Frédéric Viguier, 
234,Soleil de nuit ,Jo Nesbø, 
235,Bakhita ,Véronique Olmi, 
236,Inscrit dans les astres ,Donald E. Westlake,"Un certain Cornell demande à Tobin, ex-flic viré pour faute professionnelle, au chômage et déprimé, de l’aider à élucider le meurtre de son amant, Jamie, un top model noir. L’enquête conduit Tobin dans l'univers homosexuel du New-York de la fin des années 60 et dans celui de l’astrologie, et le confronte au double problème de l’homophobie et du racisme au quotidien."
237,La dent du serpent ,Craig Johnson, 
238,Condor ,Caryl Férey,"Condor, c’est l’histoire d’une enquête menée à tombeau ouvert dans les vastes étendues chiliennes. Une investigation qui commence dans les bas-fonds de Santiago submergés par la pauvreté et la drogue pour s’achever dans le désert minéral de l’Atacama, avec comme arrière-plan l’exploitation illégale de sites protégés... Condor, c’est une plongée dans l’histoire du Chili. De la dictature répressive des années 1970 au retour d’une démocratie plombée par l’héritage politique et économique de Pinochet. Les démons chiliens ne semblent pas près de quitter la scène... Condor, c’est surtout une histoire d’amour entre Gabriela, jeune vidéaste mapuche habitée par la mystique de son peuple, et Esteban, avocat spécialisé dans les causes perdues, qui porte comme une croix d’être le fils d’une grande famille à la fortune controversée..."
239,Le mobile ,Javier Cercas, 
240,Une bobine de fil bleu ,Anne Tyler,"Portrait des Whitshank, et de leur si jolie maison de Baltimore, Une bobine de fil bleu détricote sur plusieurs générations l’histoire d’une famille bien trop heureuse pour être vraie. Et qu’il s’agisse de débusquer les politesses, de chasser les faux-semblants ou de dire l’amour, la plume drôle et méticuleuse d’Anne Tyler ne laisse rien au hasard. Née en 1941 dans le Minnesota, Anne Tyler vit depuis de nombreuses années à Baltimore, cadre de plusieurs de ses livres. Figure majeure de la littérature américaine contemporaine, prix Pulitzer en 1989 pour Leçons de conduite, Une bobine de fil bleu est son vingtième roman."
241,Charlotte ,David Foenkinos,"Ce roman retrace la vie de Charlotte Salomon, artiste peintre morte à vingt-six ans alors qu'elle était enceinte. Après une enfance à Berlin marquée par une tragédie familiale, Charlotte est exclue progressivement par les nazis de toutes les sphères de la société allemande. Elle vit une passion amoureuse fondatrice, avant de devoir tout quitter pour se réfugier en France. Exilée, elle entreprend la composition d'une œuvre picturale autobiographique d'une modernité fascinante. Se sachant en danger, elle confie ses dessins à son médecin en lui disant : ""C'est toute ma vie."" Portrait saisissant d'une femme exceptionnelle, évocation d'un destin tragique, Charlotte est aussi le récit d'une quête. Celle d'un écrivain hanté par une artiste, et qui part à sa recherche. Prix Goncourt des Lycéens 2014 Prix Renaudot 2014"
242,Tropique de la violence ,Nathacha Appanah,"""De là où je vous parle, ce pays ressemble à une poussière incandescente et je sais qu’il suffira d’un rien pour qu’il s’embrase."" Sur l’île française de Mayotte dans l’océan Indien, les enfants errent, sans foi ni loi. Moïse a été recueilli à la naissance par Marie, une infirmière, qui le couve comme un cadeau inespéré. Mais à l’adolescence, le garçon se lie avec Bruce, chef de gang animé par la rage, qui l’embarque dans l’enfer des rues. Dans ce pays magnifique et au bord du chaos, cinq destins vont se croiser et révéler la violence de leur quotidien. Prix du roman France Télévisions 2017 Prix Femina des Lycéens 2016"
243,La septième fonction du langage ,Laurent Binet,"« A Bologne, il couche avec Bianca dans un amphithéâtre du XVIIe et il échappe à un attentat à la bombe. Ici, il manque de se faire poignarder dans une bibliothèque de nuit par un philosophe du langage et il assiste à une scène de levrette plus ou moins mythologique sur une photocopieuse. Il a rencontré Giscard à l’Elysée, a croisé Foucault dans un sauna gay, a participé à une poursuite en voiture à l’issue de laquelle il a échappé à une tentative d’assassinat, a vu un homme en tuer un autre avec un parapluie empoisonné, a découvert une société secrète où on coupe les doigts des perdants, a traversé l’Atlantique pour récupérer un mystérieux document. Il a vécu en quelques mois plus d’événements extraordinaires qu’il aurait pensé en vivre durant toute sa vie. Simon sait reconnaître du romanesque quand il en rencontre. Il repense aux surnuméraires d’Umberto Eco. Il tire sur le joint. » Le point de départ de ce roman est la mort de Roland Barthes, renversé par une camionnette de blanchisserie le 25 février 1980. L'hypothèse est qu'il s'agit d'un assassinat. Dans les milieux intellectuels et politiques de l'époque, tout le monde est suspect..."
244,"Petits secrets, grands mensonges ",Liane Moriarty,"Meurtre ou tragique accident ? À la fête de l'école, quelqu'un a trouvé la mort. Mais qui est vraiment responsable du drame ? Trois femmes à la croisée des chemins, des ex-maris et leurs nouvelles épouses, des familles recomposées (ou décomposées), qui cachent tous ces redoutables petits mensonges que l'on se raconte à soi-même pour continuer de vivre... Après Le Secret du mari, best-seller international, Liane Moriarty nous plonge une fois encore dans l'univers clos de ces quartiers résidentiels qui dissimulent derrière leurs jolies façades d'inavouables secrets. Avec elle, le sourire n'est jamais loin des larmes. Bientôt sur les écrans télé, la grande série HBO inspirée du roman, réunira dans les rôles principaux deux lectrices enthousiastes : Nicole Kidman et Reese Witherspoon ! « Lire Liane Moriarty, c'est un peu comme déguster un Cosmopolitan relevé d'un doigt d'arsenic. »USA Today"
245,La terre qui les sépare ,Hisham Matar,"En 1990, Hisham Matar a dix-neuf ans lorsque son père, Jaballa Matar, disparaît. Celui-ci, après avoir trouvé refuge en Égypte avec ses proches, est enlevé et emprisonné en Libye pour s’être opposé dès le début au régime de Kadhafi. La famille reçoit quelques lettres, envoyées secrètement, jusqu’à ce que toute correspondance cesse brusquement. Vingt et un ans plus tard, lors de la chute de Kadhafi, en 2011, le peuple prend les prisons d’assaut et libère les détenus. Mais Jaballa Matar est introuvable. A-t-il été exécuté lors du massacre d’Abou Salim qui a fait 1 270 victimes en 1996 ? La détention l’a-t-elle à ce point affaibli qu’il erre quelque part, libre mais privé de souvenirs et d’identité ? Hisham Matar va mener l’enquête pendant des années, contactant des ONG et des ambassades, relatant l’histoire de cette disparition dans la presse internationale, se rendant à la Chambre des lords en Angleterre, son pays d’adoption, s’adressant aux personnalités les plus inattendues, de Mandela au fils de Kadhafi. À travers une méditation profonde et universelle sur la condition des fils qui attendent le retour de leurs pères partis au combat, Hisham Matar retrace aussi l’histoire poignante d’un retour au pays, après une absence de plus de trente ans. Il livre également un portrait subtil de la Libye prise dans la tourmente de la dictature et de la révolution, qui synthétise les espoirs déçus du Printemps arabe."
246,"Soudain, j'ai entendu la voix de l'eau ",Hiromi Kawakami,"Un frère et une sœur reviennent vivre dans la maison de leur enfance. Là où dort enfoui le temps du bonheur, des désirs les plus secrets et les plus interdits, prêts à se réveiller. L’odeur du beurre fondu, les crissements d’un drap de lin, la ritournelle des cigales de montagne, le tic-tac lancinant d’une horloge dans une chambre toujours fermée à clé... Quelle est cette sensation qu’on ne peut oublier, et qui fait encore chavirer le cœur ?Les souvenirs s’emmêlent, le trou noir de l’attentat au gaz sarin de 1995 et la douceur des lèvres du premier baiser, ils passent de l’ombre à la lumière en révélant les liens invisibles qui unissent une famille ; suspendu à ce murmure fragile et tenace comme le fil de la vie, le lecteur retient son souffle."
247,Check-point ,Jean-Christophe Rufin,"Maud, vingt et un ans, cache sa beauté et ses idéaux derrière de vilaines lunettes. Elle s'engage dans une ONG et se retrouve au volant d'un quinze tonnes sur les routes de la Bosnie en guerre. Les quatre hommes qui l'accompagnent dans ce convoi sont bien différents de l'image habituelle des volontaires humanitaires. Dans ce quotidien de machisme, Maud réussira malgré tout à se placer au centre du jeu. Un à un, ses compagnons vont lui révéler les blessures secrètes de leur existence. Et la véritable nature de leur chargement. À travers des personnages d'une force exceptionnelle, Jean-Christophe Rufin nous offre un puissant thriller psychologique. Et l'aventure de Maud éclaire un des dilemmes les plus fondamentaux de notre époque. À l'heure où la violence s'invite jusqu'au cœur de l'Europe, y a-t-il encore une place pour la neutralité bienveillante de l'action humanitaire? Face à la souffrance, n'est-il pas temps, désormais, de prendre les armes ?"
